Date,Volume
04/08/2025,430213261
03/08/2025,374625741
02/08/2025,535843292
01/08/2025,1250732204
31/07/2025,717993165
30/07/2025,741609943
29/07/2025,569109056
28/07/2025,774699089
27/07/2025,493038110
26/07/2025,387407839
25/07/2025,958127617
24/07/2025,868342060
23/07/2025,1107140339
22/07/2025,1257406043
21/07/2025,1124751458
20/07/2025,671969775
19/07/2025,397366500
18/07/2025,1089989129
17/07/2025,819887989
16/07/2025,833031816
15/07/2025,821127472
14/07/2025,819710170
13/07/2025,382622645
12/07/2025,302990666
11/07/2025,826387555
10/07/2025,703095972
09/07/2025,550478909
08/07/2025,330862101
07/07/2025,307804295
06/07/2025,285344474
05/07/2025,160071556
04/07/2025,375106896
03/07/2025,576841798
02/07/2025,159863302
01/07/2025,427027095
30/06/2025,469689916
29/06/2025,296362408
28/06/2025,311499831
27/06/2025,352282121
26/06/2025,359957379
25/06/2025,510464579
24/06/2025,577985062
23/06/2025,912311601
22/06/2025,1071594528
21/06/2025,547630396
20/06/2025,696225327
19/06/2025,300818089
18/06/2025,529904284
17/06/2025,910540768
16/06/2025,643187693
15/06/2025,404501185
14/06/2025,308368075
13/06/2025,883280203
12/06/2025,963167789
11/06/2025,794939964
10/06/2025,765659908
09/06/2025,590709916
08/06/2025,331996148
07/06/2025,354622586
06/06/2025,528113345
05/06/2025,937536816
04/06/2025,728673252
03/06/2025,643187693
02/06/2025,404501185
01/06/2025,308368075
31/05/2025,883280203
30/05/2025,963167789
29/05/2025,794939964
28/05/2025,765659908
27/05/2025,590709916
26/05/2025,331996148
25/05/2025,354622586
24/05/2025,528113345
23/05/2025,937536816
22/05/2025,379982138
21/05/2025,668265042
20/05/2025,695180753
19/05/2025,414775531
18/05/2025,420627593
17/05/2025,876320100
16/05/2025,745746828
15/05/2025,591807106
14/05/2025,621905185
13/05/2025,443081886
12/05/2025,541518671
11/05/2025,362800109
10/05/2025,1227778650
09/05/2025,759508614
08/05/2025,1277370563
07/05/2025,731091594
06/05/2025,686316758
05/05/2025,737330798
04/05/2025,336369552
03/05/2025,436232026
02/05/2025,748069998
01/05/2025,620968461
30/04/2025,932562164
29/04/2025,1106474142
28/04/2025,698685221
27/04/2025,611285809
26/04/2025,893384557
25/04/2025,988504823
24/04/2025,460085182
23/04/2025,633398307
22/04/2025,422204622
21/04/2025,333770796
20/04/2025,176365047
19/04/2025,361517758
18/04/2025,589266356
17/04/2025,571991342
16/04/2025,518226571
15/04/2025,553324363
14/04/2025,354878733
13/04/2025,405945809
12/04/2025,635828651
11/04/2025,510587235
10/04/2025,781445655
09/04/2025,1007721959
08/04/2025,800060795
07/04/2025,519430761
06/04/2025,380785111
05/04/2025,291889221
04/04/2025,627354722
03/04/2025,815911289
02/04/2025,665114975
01/04/2025,799525774
31/03/2025,817684920
30/03/2025,825050792
